Wavelength (nm),X,Y,Z
380,0.001368,0.000039,0.006450001
390,0.004243,0.000120,0.02005001
400,0.014310,0.000396,0.06785001
410,0.043510,0.001210,0.2074000
420,0.134380,0.004000,0.6456000
430,0.2839,0.0116,1.3856
440,0.348280,0.023000,1.7470600
450,0.336200,0.038000,1.7721100
460,0.290800,0.060000,1.6692000
470,0.195360,0.090980,1.2876400
480,0.095640,0.139020,0.8129501
490,0.032010,0.208020,0.4651800
500,0.0049,0.3230,0.2720
510,0.0093,0.5030,0.1582
520,0.063270,0.710000,0.07824999
530,0.1655,0.8620,0.0422
540,0.2904,0.9540,0.0203
550,0.4334499,0.9949501,0.008749999
560,0.5945,0.9950,0.0039
570,0.7621,0.9520,0.0021
580,0.916300,0.870000,0.001650001
590,1.0263,0.7570,0.0011
600,1.0622,0.6310,0.0008
610,1.002600,0.503000,0.0003400
620,0.8544499,0.381000,0.0001900
630,0.642400,0.265000,0.0000500
640,0.447900,0.175000,0.0000200
650,0.283500,0.107000,0.0000000
660,0.164900,0.061000,0.0000000
670,0.087400,0.032000,0.0000000
680,0.046770,0.017000,0.0000000
690,0.022700,0.008210,0.0000000
700,0.01135916,0.004102,0.0000000
710,0.005790346,0.002091,0.0000000
720,0.002899327,0.001047,0.0000000
730,0.001439971,0.000520,0.0000000
