group_id,repeat_index,canonical_path,sha256,alias_paths
ramp_patch_01,1,Old/1 to 6/patch_1trail_1.mat,3dc2a955996f6ce78a1b911a4c75a7857fb53bf776af95324ad91a872b859a45,
ramp_patch_01,2,Old/1 to 6/patch_1trail_2.mat,40a017eb565c085bde7902eb44570683f68646e24d4d8ee18eef70da359514f3,
ramp_patch_01,3,Old/1 to 6/patch_1trail_3.mat,6d508f31cedd04a939dd628d4eec2aca648f5d6e8f38a764bded7cd2c0a1d31d,
ramp_patch_02,1,Old/1 to 6/patch_2trail_1.mat,dafabae9acff9677a24a6e1ecc27ab1b32d87c971aabd9f21730d2be34f3df24,
ramp_patch_02,2,Old/1 to 6/patch_2trail_2.mat,ddc73cea26738486d4bbb0a554c64aeda04b216097c5e4d85d58804370c5d17c,
ramp_patch_02,3,Old/1 to 6/patch_2trail_3.mat,b032cdbd4d6d1dbe9e4ef706ed39f6a6957ad91989ba464667444261899a0c4c,
ramp_patch_03,1,Old/1 to 6/patch_3trail_1.mat,df4b4bfcfbd9b4431af26c184afcc646cd83b27181927b16d38c931c4adcb9fa,
ramp_patch_03,2,Old/1 to 6/patch_3trail_2.mat,7db8e55da532dad3a69af6da9e214daef7c002a74752eea18e723b2aa7b8d703,
ramp_patch_03,3,Old/1 to 6/patch_3trail_3.mat,edc1d4f5f1957f1b2c5379e7905c8e9d9e791958e9179d924079b958defe64d9,
ramp_patch_04,1,Old/1 to 6/patch_4trail_1.mat,c00d853ea1aec54070b6f8495b133e3225e52dccb753548e3327bc0e0a4d761c,
ramp_patch_04,2,Old/1 to 6/patch_4trail_2.mat,c2500f12282a73058395d7285580e7c718c11e4db74500d28718cec0356ff4fd,
ramp_patch_04,3,Old/1 to 6/patch_4trail_3.mat,6f372de8760e9c8932fa89afed60f43ea4b4bb7a927edeeb2cc5da22aa109fee,
ramp_patch_05,1,Old/1 to 6/patch_5trail_1.mat,37368e816659337941e553eebfd06859dff9a54781f149ee2fb6ed8b1ffb70d5,
ramp_patch_05,2,Old/1 to 6/patch_5trail_2.mat,9f03447b3dc5bbab74c8ba59bdb636beda12965f9a19b0f3ebe08fa5eab9e5f9,
ramp_patch_05,3,Old/1 to 6/patch_5trail_3.mat,c2697f1c2e5d9d034ba037b1784e0984bd78b85d14f05272618a85f670ed355d,
ramp_patch_06,1,Old/1 to 6/patch_6trail_1.mat,b73ae6b9b47524b7bdeef9ef54ebefbf9638ffb4072080c3187670b7694c6ae6,
ramp_patch_06,2,Old/1 to 6/patch_6trail_2.mat,8639cd36c9005b8e410a58bb93733d748bff8fe97ca31dbc63dbbbc7da286a3a,
ramp_patch_06,3,Old/1 to 6/patch_6trail_3.mat,3b35254a1eebbb1ea5daf9dd122063c52d881b93970236f9256207e854b262c1,
ramp_patch_07,1,Old/7 to 9/patch_7trail_1.mat,9279cda2519d133bf7d9bdf40607ea5380657b555ae7acf2f245ac3e2bd30597,
ramp_patch_07,2,Old/7 to 9/patch_7trail_2.mat,3f8c06d59485df9cbbf7e64ad8ad2a2a057640d83384d332a80bc70275a9d5aa,
ramp_patch_08,1,Old/7 to 9/patch_8trail_1.mat,5615ace4e88c42345a3719b799f2d68d20e38f474b431a9394e840a342bb6586,
ramp_patch_08,2,Old/7 to 9/patch_8trail_2.mat,68497b9289aa9349042436600f8b9dbf0c461faac781209ee9d41a552d95a4a5,
ramp_patch_09,1,Old/7 to 9/patch_9trail_1.mat,c179273bb9b77afa50554f4950c4a013186f50a2bd7759bb10a15e4d87f243ec,
ramp_patch_09,2,Old/7 to 9/patch_9trail_2.mat,84738e9c0241276af890203c7c8d92264753938c498bf45f6127afd0f96ce2ee,
ramp_patch_10,1,Old/10 to 15/patch_10trail_1.mat,b63a0f04f0879805cd79769ce245c0ee1f7b1f54dd4ddd009c05adea5b0968bd,
ramp_patch_10,2,Old/10 to 15/patch_10trail_2.mat,c33f7259683740b5f41f0fed1d4841968b89aaf075ae930e26bf2bff32c574d8,
ramp_patch_10,3,Old/10 to 15/patch_10trail_3.mat,1762eab0afa0feb3329b3f278102eb73002de9bf3f8d4507cd2619df873d70bb,
ramp_patch_11,1,Old/10 to 15/patch_11trail_1.mat,aafcb716f46edda17dd6a54feef77797ba72e0ec88ab649c1145d66be1926595,
ramp_patch_11,2,Old/10 to 15/patch_11trail_2.mat,a19f99ff6de2729a5e27da012b2607450b3e000984a5ac86378af6aa42ea5c47,
ramp_patch_11,3,Old/10 to 15/patch_11trail_3.mat,5e88cc346ec671f881a79c8717856c0582e4ba26ad40480e2a47b3f20dab48c2,
ramp_patch_12,1,Old/10 to 15/patch_12trail_1.mat,2b1db6a6603224473ddd5113bc2d87305d65da0966886b54a898390cd9701bf1,
ramp_patch_12,2,Old/10 to 15/patch_12trail_2.mat,8ebdee3ede992d7e4e70a4c27d1a6e92e7f15efb55ce93e2b41fe7e70555baf8,
