file,aperture,shutter,accepted,failed_gates,max_near_ceiling_gate,max_near_ceiling_frame,near_ceiling_gate_r,near_ceiling_gate_g1,near_ceiling_gate_g2,near_ceiling_gate_b,near_ceiling_frame_r,near_ceiling_frame_g1,near_ceiling_frame_g2,near_ceiling_frame_b,finite_fraction_gate_r,finite_fraction_gate_g1,finite_fraction_gate_g2,finite_fraction_gate_b,finite_fraction_frame_r,finite_fraction_frame_g1,finite_fraction_frame_g2,finite_fraction_frame_b,green_center_signal,green_asymmetry,dark_controls_verified,comparison_file,max_corner_delta_pp,rms_corner_delta_pp,analysis_policy
dataset:clrs589_project_camera/Images/Sphere/Sphere_f5.6_1:100_DSCF0358.RAF,5.6,1:100,false,near_ceiling,1.00000000,0.99999818,1.00000000,1.00000000,1.00000000,1.00000000,0.99944112,0.99999685,0.99999818,0.99944509,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f5.6_1:10_DSCF0349.RAF,5.6,1:10,false,near_ceiling,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f5.6_1:125_DSCF0359.RAF,5.6,1:125,false,near_ceiling,1.00000000,0.99983303,1.00000000,1.00000000,1.00000000,1.00000000,0.99913021,0.99983303,0.99983171,0.99915356,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f5.6_1:15_DSCF0350.RAF,5.6,1:15,false,near_ceiling,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f5.6_1:160_DSCF0360.RAF,5.6,1:160,false,near_ceiling,1.00000000,0.99959649,1.00000000,1.00000000,1.00000000,1.00000000,0.99867286,0.99959434,0.99959649,0.99872189,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f5.6_1:180_DSCF0361.RAF,5.6,1:180,false,near_ceiling,1.00000000,0.99948766,1.00000000,1.00000000,1.00000000,1.00000000,0.99840800,0.99948766,0.99948717,0.99847658,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f5.6_1:200_DSCF0362.RAF,5.6,1:200,false,near_ceiling,1.00000000,0.99937801,1.00000000,1.00000000,1.00000000,1.00000000,0.99808814,0.99937470,0.99937801,0.99819382,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f5.6_1:20_DSCF0351.RAF,5.6,1:20,false,near_ceiling,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f5.6_1:250_DSCF0363.RAF,5.6,1:250,false,near_ceiling,1.00000000,0.99905384,1.00000000,1.00000000,1.00000000,1.00000000,0.98169389,0.99905235,0.99905384,0.98725935,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f5.6_1:25_DSCF0352.RAF,5.6,1:25,false,near_ceiling,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f5.6_1:30_DSCF0353.RAF,5.6,1:30,false,near_ceiling,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f5.6_1:320_DSCF0364.RAF,5.6,1:320,false,near_ceiling,1.00000000,0.99856519,1.00000000,1.00000000,1.00000000,1.00000000,0.87769883,0.99856238,0.99856519,0.89944138,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f5.6_1:400_DSCF0365.RAF,5.6,1:400,false,near_ceiling,1.00000000,0.99740453,1.00000000,1.00000000,1.00000000,1.00000000,0.59077471,0.99738366,0.99740453,0.59429480,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f5.6_1:40_DSCF0354.RAF,5.6,1:40,false,near_ceiling,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f5.6_1:500_DSCF0366.RAF,5.6,1:500,false,near_ceiling,1.00000000,0.98290508,1.00000000,1.00000000,1.00000000,1.00000000,0.25722587,0.98283070,0.98290508,0.23771868,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f5.6_1:50_DSCF0355.RAF,5.6,1:50,false,near_ceiling,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99999967,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f5.6_1:60_DSCF0356.RAF,5.6,1:60,false,near_ceiling,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99993523,1.00000000,1.00000000,0.99991453,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f5.6_1:80_DSCF0357.RAF,5.6,1:80,false,near_ceiling,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99968064,1.00000000,1.00000000,0.99966888,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f8.0_1:1000_DSCF0368.RAF,8.0,1:1000,true,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.48759685,0.19648388,true,dataset:clrs589_project_camera/Images/Sphere/Sphere_f8.0_1:1000_DSCF0387.RAF,0.37874764,0.18130868,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f8.0_1:1000_DSCF0387.RAF,8.0,1:1000,true,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.49417280,0.19996439,true,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f8.0_1:100_DSCF0378.RAF,8.0,1:100,false,near_ceiling,1.00000000,0.99983071,1.00000000,1.00000000,1.00000000,1.00000000,0.99948319,0.99983071,0.99982790,0.99958307,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f8.0_1:10_DSCF0369.RAF,8.0,1:10,false,near_ceiling,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f8.0_1:125_DSCF0379.RAF,8.0,1:125,false,near_ceiling,1.00000000,0.99976379,1.00000000,1.00000000,1.00000000,1.00000000,0.98930853,0.99976379,0.99976015,0.99387963,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f8.0_1:15_DSCF0370.RAF,8.0,1:15,false,near_ceiling,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f8.0_1:1600_DSCF0367.RAF,8.0,1:1600,true,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.31727326,0.16087496,true,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f8.0_1:160_DSCF0380.RAF,8.0,1:160,false,near_ceiling,1.00000000,0.99967020,1.00000000,1.00000000,1.00000000,1.00000000,0.89638758,0.99967020,0.99966540,0.90585196,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f8.0_1:180_DSCF0381.RAF,8.0,1:180,false,near_ceiling,1.00000000,0.99959798,1.00000000,1.00000000,1.00000000,1.00000000,0.78574888,0.99959798,0.99959566,0.79874826,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f8.0_1:200_DSCF0382.RAF,8.0,1:200,false,near_ceiling,1.00000000,0.99924102,1.00000000,1.00000000,1.00000000,1.00000000,0.63298402,0.99924102,0.99923903,0.62333561,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f8.0_1:20_DSCF0371.RAF,8.0,1:20,false,near_ceiling,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f8.0_1:250_DSCF0383.RAF,8.0,1:250,false,near_ceiling,1.00000000,0.97982692,1.00000000,1.00000000,1.00000000,0.99558923,0.13720446,0.97972986,0.97982692,0.08486637,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f8.0_1:25_DSCF0372.RAF,8.0,1:25,false,near_ceiling,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99995842,1.00000000,1.00000000,0.99995909,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f8.0_1:30_DSCF0373.RAF,8.0,1:30,false,near_ceiling,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99992596,1.00000000,1.00000000,0.99992861,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f8.0_1:320_DSCF0384.RAF,8.0,1:320,false,near_ceiling,1.00000000,0.84984304,0.00000000,1.00000000,1.00000000,0.00000000,0.00000017,0.84854571,0.84984304,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
dataset:clrs589_project_camera/Images/Sphere/Sphere_f8.0_1:400_DSCF0385.RAF,8.0,1:400,false,near_ceiling,1.00000000,0.43806054,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.43426051,0.43806054,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99986978,,false,,,,shading-v2-grid16x12-screening-coverage
