camera,aperture,toolkit_center_mtf50,advisory_center_mtf50,toolkit_corner_max_mtf50
D810,1.4,0.10742023,0.1158,
D810,1.8,0.08370889,0.0899,
D810,2,0.10848806,0.1121,
D810,2.8,0.19922111,0.1707,
D810,4,0.20003450,0.1949,0.20049357
D810,5.6,0.27136380,0.2400,0.20014470
D810,8,0.22182499,0.2388,0.19547504
D810,11,0.20494377,0.1989,0.18300469
D810,16,0.16664458,0.1735,
D800,1.4,0.10816309,0.1029,0.09776594
D800,1.8,0.13038469,0.1204,0.10579096
D800,2,0.14394120,0.1377,0.11131303
D800,2.8,0.14465098,0.1395,0.15350269
D800,4,0.14279967,0.1385,0.18853600
D800,5.6,0.16465487,0.1649,0.18856969
D800,8,0.16838080,0.1831,0.18489259
D800,11,0.16736263,0.1707,0.15919770
D800,16,0.14779185,0.1583,0.13671075
